Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C236798,ME2108A50PG,MICRONE,SOT-89-3,PS1,Boost 5V 400mA 900mV~6.5V SOT-89-3 DC-DC Converters ROHS,yes,5,5,5,0.0680,0.34,https://lcsc.com/product-detail/dc-dc-converters_microne-me2108a50pg_C236798.html
2,C21190,0603WAF1001T5E,UNI-ROYAL,0603,R4,100mW Thick Film Resistor 75V ±100ppm/℃ ±1% 1kΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,100,0.0011,0.11,https://lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-0603waf1001t5e_C21190.html
3,C83852,SS14,onsemi,SMA(DO-214AC),D3,40V 500mV@1A 1A SMA(DO-214AC) Schottky Diodes ROHS,yes,5,5,5,0.1319,0.66,https://lcsc.com/product-detail/schottky-diodes_onsemi-ss14_C83852.html
4,C281774,RT0402BRD0714K7L,YAGEO,0402,R8,62.5mW Thin Film Resistor 50V ±25ppm/℃ ±0.1% 14.7kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,50,50,50,0.0195,0.98,https://lcsc.com/product-detail/chip-resistor-surface-mount_yageo-rt0402brd0714k7l_C281774.html
5,C15127,AO3401A,AOS,SOT-23,Q2,"30V 85mΩ@2.5V,2.5A 1.3V@250uA 1 P-Channel SOT-23 MOSFETs ROHS",yes,10,10,10,0.0602,0.60,https://lcsc.com/product-detail/mosfets_aos-ao3401a_C15127.html
6,C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,C2,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,20,20,20,0.0058,0.12,https://lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl10a106kp8nnnc_C19702.html
7,C60490,RC0402FR-0710KL,YAGEO,0402,"R7,R9",62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,100,0.0006,0.06,https://lcsc.com/product-detail/chip-resistor-surface-mount_yageo-rc0402fr-0710kl_C60490.html
8,C17477,0805W8F0000T5E,UNI-ROYAL,0805,R6,125mW Thick Film Resistor 150V ±800ppm/℃ ±1% 0Ω 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,100,0.0017,0.17,https://lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-0805w8f0000t5e_C17477.html
9,C2843785,XL-5050RGBC-WS2812B,XINGLIGHT,SMD5050,D4,SMD5050 RGB LEDs(Built-in IC) ROHS,yes,10,10,10,0.0490,0.49,https://lcsc.com/product-detail/rgb-leds-built-in-ic_xinglight-xl-5050rgbc-ws2812b_C2843785.html
10,C167761,FNR3015S220MT,cjiang (Changjiang Microelectronics Tech),"SMD,3x3mm",L1,"690mA 22uH Magnetic Shielded Inductor ±20% 680mA SMD,3x3mm Power Inductors ROHS",yes,20,20,20,0.0735,1.47,https://lcsc.com/product-detail/power-inductors_cjiang-changjiang-microelectronics-tech-fnr3015s220mt_C167761.html
11,C6331180,2.54-2P TPGT,SHOU HAN,SMD,S1,"2 SPST 24V Black 25mA 3,000 Cycles Slide, Rocked SMD DIP Switches ROHS",yes,1,1,1,0.4163,0.42,https://lcsc.com/product-detail/dip-switches_shou-han-2-54-2p-tpgt_C6331180.html
